point_id,lat,lon,population,cluster_id,max_membership_prob,prob_cluster0,prob_cluster1,prob_cluster2,prob_cluster3,prob_cluster4
TNP_0020,12.875,79.625,624118.5540295839,2,1.0,0.0,1.1576631018334388e-32,1.0,0.0,5.197821162616107e-37
TNP_0021,11.375,79.625,611160.1712343693,2,1.0,0.0,1.495649728730692e-36,1.0,0.0,1.0045125579467418e-36
TNP_0022,12.875,79.875,596457.0556298494,2,1.0,0.0,1.2936453484987804e-41,1.0,0.0,5.158830755951081e-37
TNP_0023,8.625,77.625,582560.4265007973,4,1.0,0.0,1.1510751558839247e-34,0.0,2.7250009053072363e-131,1.0
TNP_0024,10.875,79.125,581223.5783321857,2,1.0,0.0,2.966944143055976e-24,1.0,0.0,4.069913757617809e-27
TNP_0025,13.125,79.875,578685.5680625439,0,1.0,1.0,6.557476155245582e-59,0.0,0.0,6.994884119938869e-28
TNP_0026,12.875,78.875,578566.7887402773,1,0.9999999999999956,0.0,0.9999999999999956,0.0,2.984288442997366e-59,4.764294521193831e-15
TNP_0027,12.625,78.625,570663.8527343869,1,0.9999999999999982,0.0,0.9999999999999982,0.0,1.364886851895862e-56,1.925126042537157e-15
TNP_0028,12.875,79.375,570341.4928501844,2,1.0,0.0,2.518828830645883e-32,1.0,0.0,1.0459113253426327e-36
TNP_0029,8.875,77.375,558795.526090622,4,1.0,0.0,3.022158453505569e-34,0.0,2.9688107908760924e-139,1.0
TNP_0030,10.875,79.625,558068.7767105103,2,1.0,0.0,3.1827319259612684e-27,1.0,0.0,3.1703098754164547e-28
TNP_0031,10.375,77.875,552232.6657766402,1,0.9999989038361722,0.0,0.9999989038361722,0.0,0.0,1.0961638271380826e-06
TNP_0032,11.625,77.875,548446.908927083,1,0.9999999999999991,0.0,0.9999999999999991,0.0,0.0,7.001755899200869e-16
TNP_0033,8.875,77.625,539231.9798537493,4,1.0,0.0,2.9084527758036918e-30,0.0,3.518219210773329e-127,1.0
TNP_0034,12.125,79.125,538197.4571355581,2,1.0,0.0,3.8852618932563737e-35,1.0,0.0,7.627534843012065e-38
TNP_0035,8.375,77.125,531967.9416552782,4,1.0,0.0,6.331245928653159e-70,0.0,3.1054719610199537e-149,1.0
TNP_0036,9.375,77.625,529327.0772749186,4,1.0,0.0,3.9581127402898576e-101,0.0,2.4114954855835364e-276,1.0
TNP_0037,11.875,79.375,513207.50633621216,2,1.0,0.0,2.195854438969395e-35,1.0,0.0,4.91829072093539e-37
TNP_0038,10.875,78.875,509643.5959506035,3,1.0,0.0,3.208058230793535e-49,0.0,1.0,1.828848841965119e-35
TNP_0039,11.125,78.125,509339.4160377979,1,0.9999999999999991,0.0,0.9999999999999991,0.0,0.0,6.410242775055031e-16
TNP_0040,9.875,77.375,503075.9377707541,4,1.0,0.0,6.653483828655692e-107,0.0,3.1451260723192322e-301,1.0
TNP_0041,10.875,77.375,497094.1553002596,1,0.999999662556789,0.0,0.999999662556789,0.0,0.0,3.3744321244374895e-07
TNP_0042,11.375,78.125,487498.5251520872,1,1.0,0.0,1.0,0.0,0.0,3.2609332289656666e-17
TNP_0043,9.375,77.875,482909.210804224,4,1.0,0.0,5.469604360192185e-102,0.0,1.2627403695705408e-244,1.0
TNP_0044,12.625,79.875,476504.6826384068,2,1.0,0.0,6.973378979475014e-47,1.0,0.0,1.1740170884828532e-35
TNP_0045,11.625,79.375,472531.033213377,2,1.0,0.0,4.757343850468365e-36,1.0,0.0,1.3667893678960618e-36
TNP_0046,8.875,78.125,470011.098297298,3,1.0,0.0,4.1863795668019827e-103,0.0,1.0,1.250988589189522e-34
TNP_0047,10.625,79.625,464208.09969496727,2,1.0,0.0,3.0510279316338236e-31,1.0,0.0,3.327208506852552e-26
TNP_0048,13.125,79.625,453560.4962954521,0,1.0,1.0,3.111951752051773e-51,0.0,0.0,7.399410033581854e-29
TNP_0049,10.875,78.125,453204.45869636536,3,1.0,0.0,1.8104947246440483e-53,0.0,1.0,1.6037251248851123e-35
TNP_0050,12.625,77.875,453078.5000749826,1,0.9999999999925944,0.0,0.9999999999925944,0.0,4.01406187868429e-81,7.405694545010596e-12
TNP_0051,10.125,77.875,444004.8665029407,1,0.9992870871297416,0.0,0.9992870871297416,0.0,0.0,0.0007129128702582592
TNP_0052,12.125,78.125,442702.0660517812,1,0.9999999999999964,0.0,0.9999999999999964,0.0,4.6458297465147476e-55,3.4673375651929432e-15
TNP_0053,9.125,77.375,432034.77818611264,4,1.0,0.0,4.0059599480726673e-106,0.0,7.912128207393751e-272,1.0
TNP_0054,13.375,80.125,428818.2389336824,0,1.0,1.0,2.4377880768894223e-128,0.0,0.0,2.1017211041246216e-49
TNP_0055,9.625,77.875,428798.5923881531,4,1.0,0.0,1.9064034751094026e-101,0.0,2.581923091029277e-245,1.0
