timestamp,year,month,var_type,status,filepath,size_mb,note
2026-08-03 05:12:17,2019,05,instant,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2019_05_instant.nc,2.05,
2026-08-03 05:15:17,2019,05,accum,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2019_05_accum.nc,1.21,
2026-08-03 05:18:24,2019,06,instant,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2019_06_instant.nc,1.93,
2026-08-03 05:21:26,2019,06,accum,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2019_06_accum.nc,1.24,
2026-08-03 05:24:28,2019,07,instant,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2019_07_instant.nc,1.95,
2026-08-03 05:28:59,2019,07,accum,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2019_07_accum.nc,1.30,
2026-08-03 05:32:04,2019,08,instant,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2019_08_instant.nc,1.94,
2026-08-03 05:36:32,2019,08,accum,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2019_08_accum.nc,1.33,
2026-08-03 05:39:40,2019,09,instant,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2019_09_instant.nc,1.92,
2026-08-03 05:44:08,2019,09,accum,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2019_09_accum.nc,1.29,
2026-08-03 05:47:15,2019,10,instant,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2019_10_instant.nc,1.96,
2026-08-03 05:53:44,2019,10,accum,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2019_10_accum.nc,1.35,
2026-08-03 05:56:44,2019,11,instant,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2019_11_instant.nc,1.95,
2026-08-03 06:01:14,2019,11,accum,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2019_11_accum.nc,1.26,
2026-08-03 06:05:45,2019,12,instant,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2019_12_instant.nc,2.00,
2026-08-03 06:10:11,2019,12,accum,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2019_12_accum.nc,1.26,
2026-08-03 06:13:19,2020,01,instant,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2020_01_instant.nc,2.04,
2026-08-03 06:17:48,2020,01,accum,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2020_01_accum.nc,1.14,
2026-08-03 06:20:48,2020,02,instant,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2020_02_instant.nc,1.91,
2026-08-03 06:23:51,2020,02,accum,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2020_02_accum.nc,1.05,
2026-08-03 06:26:56,2020,03,instant,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2020_03_instant.nc,2.05,
2026-08-03 06:29:57,2020,03,accum,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2020_03_accum.nc,1.14,
