point_id,season,cluster_id,max_membership_prob,chosen_k,bootstrap_ari_mean_chosen_k,bootstrap_effective_n_resamples_chosen_k,prob_cluster0,prob_cluster1,prob_cluster2
TNP_0033,Summer,1,1.0,3,0.8095120734108758,50,5.2435421118993195e-45,1.0,7.916946929238644e-20
TNP_0033,Monsoon,0,0.9999999937638169,3,0.8095120734108758,50,0.9999999937638169,1.0335034839769614e-12,6.235149332221378e-09
TNP_0033,Retreat,0,0.9999901149320329,3,0.8095120734108758,50,0.9999901149320329,7.672292363808148e-27,9.885067966202886e-06
TNP_0034,Winter,2,1.0,3,0.8095120734108758,50,1.2147122665608577e-42,2.3053183666979794e-66,1.0
TNP_0034,Summer,1,1.0,3,0.8095120734108758,50,2.6286209881710305e-71,1.0,2.989180724349545e-25
TNP_0034,Monsoon,1,1.0,3,0.8095120734108758,50,4.044069673180699e-18,1.0,2.3467768877768663e-19
TNP_0034,Retreat,0,0.9999999872249008,3,0.8095120734108758,50,0.9999999872249008,3.659492932041426e-26,1.277509938020687e-08
TNP_0035,Winter,2,1.0,3,0.8095120734108758,50,6.600224812957321e-30,4.804097010433011e-40,1.0
TNP_0035,Summer,2,1.0,3,0.8095120734108758,50,5.677318122820899e-21,2.1966075061225233e-21,1.0
TNP_0035,Monsoon,2,1.0,3,0.8095120734108758,50,2.216979663340523e-15,9.778171882241566e-52,1.0
TNP_0035,Retreat,2,0.9999999999952465,3,0.8095120734108758,50,4.75398637261009e-12,3.1631349470329394e-50,0.9999999999952465
TNP_0036,Winter,2,1.0,3,0.8095120734108758,50,6.4153521111269925e-84,1.9834914394997483e-95,1.0
TNP_0036,Summer,2,0.9997444014363922,3,0.8095120734108758,50,7.942290811213076e-24,0.00025559856360931986,0.9997444014363922
TNP_0036,Monsoon,2,0.869796843228183,3,0.8095120734108758,50,0.13020315677181735,6.729632746076873e-28,0.869796843228183
TNP_0036,Retreat,2,1.0,3,0.8095120734108758,50,1.8514628550541684e-19,7.632344800898186e-57,1.0
TNP_0037,Winter,2,1.0,3,0.8095120734108758,50,6.973208633147513e-26,4.5328582405935654e-58,1.0
TNP_0037,Summer,1,1.0,3,0.8095120734108758,50,2.2566321673589258e-68,1.0,7.030312197338616e-26
TNP_0037,Monsoon,1,1.0,3,0.8095120734108758,50,2.071103796613181e-28,1.0,1.0407716191403991e-22
TNP_0037,Retreat,0,0.9999999999411902,3,0.8095120734108758,50,0.9999999999411902,6.029949150119049e-23,5.880967696201544e-11
TNP_0038,Winter,2,0.9999999999999893,3,0.8095120734108758,50,1.0945902660164608e-14,9.446737232502169e-42,0.9999999999999893
TNP_0038,Summer,1,1.0,3,0.8095120734108758,50,6.656725630368881e-81,1.0,4.102874422658137e-29
TNP_0038,Monsoon,1,1.0,3,0.8095120734108758,50,1.846368288218601e-34,1.0,3.2444230782833708e-24
TNP_0038,Retreat,0,0.9999999999807603,3,0.8095120734108758,50,0.9999999999807603,2.6453458393223028e-17,1.923956361548844e-11
TNP_0039,Winter,2,1.0,3,0.8095120734108758,50,2.811962043673358e-19,2.8061206638765467e-36,1.0
TNP_0039,Summer,1,1.0,3,0.8095120734108758,50,2.0089375729877208e-87,1.0,1.8398512092371006e-30
TNP_0039,Monsoon,0,0.5422944039081947,3,0.8095120734108758,50,0.5422944039081947,0.4577055577819924,3.830981209786019e-08
TNP_0039,Retreat,0,0.9999999996764668,3,0.8095120734108758,50,0.9999999996764668,1.380543632563416e-23,3.235329384355394e-10
TNP_0040,Winter,2,1.0,3,0.8095120734108758,50,2.4762518687170054e-181,2.1330725002290368e-156,1.0
TNP_0040,Summer,2,1.0,3,0.8095120734108758,50,1.5763804574833064e-55,1.2519634594178087e-53,1.0
TNP_0040,Monsoon,2,1.0,3,0.8095120734108758,50,2.659998469150486e-82,6.794520590843603e-115,1.0
TNP_0040,Retreat,2,1.0,3,0.8095120734108758,50,1.2290214621353517e-104,8.915302281823946e-134,1.0
TNP_0041,Winter,2,1.0,3,0.8095120734108758,50,1.0833895268302718e-29,1.581459259941492e-45,1.0
TNP_0041,Summer,1,1.0,3,0.8095120734108758,50,6.77259264240165e-61,1.0,3.723262423437002e-24
TNP_0041,Monsoon,0,0.9998895991651481,3,0.8095120734108758,50,0.9998895991651481,1.0101661281987496e-28,0.00011040083485132197
TNP_0041,Retreat,0,0.9897120625966485,3,0.8095120734108758,50,0.9897120625966485,7.218431265158463e-34,0.010287937403352375
TNP_0042,Winter,2,1.0,3,0.8095120734108758,50,1.3463299819933995e-32,2.1146432058161008e-48,1.0
TNP_0042,Summer,1,1.0,3,0.8095120734108758,50,1.436400864678402e-72,1.0,8.423777172900835e-27
TNP_0042,Monsoon,0,0.9999999995838262,3,0.8095120734108758,50,0.9999999995838262,2.5453514685930257e-13,4.1591959697791613e-10
TNP_0042,Retreat,0,0.9999996079520579,3,0.8095120734108758,50,0.9999996079520579,5.641178414350653e-30,3.920479428401613e-07
TNP_0043,Winter,2,1.0,3,0.8095120734108758,50,3.5700152300702946e-21,5.432338115708646e-37,1.0
TNP_0043,Summer,1,1.0,3,0.8095120734108758,50,1.2868082830391795e-63,1.0,5.645297625603362e-27
TNP_0043,Monsoon,1,1.0,3,0.8095120734108758,50,3.487429757067244e-24,1.0,5.1277722097664744e-20
TNP_0043,Retreat,0,0.9999999996252722,3,0.8095120734108758,50,0.9999999996252722,2.5676602454969993e-15,3.747253457186454e-10
TNP_0044,Winter,2,1.0,3,0.8095120734108758,50,3.2141793381484206e-25,2.9964021141668575e-58,1.0
TNP_0044,Summer,1,1.0,3,0.8095120734108758,50,1.0955418491868081e-72,1.0,6.716435959919707e-26
TNP_0044,Monsoon,1,1.0,3,0.8095120734108758,50,1.3899820785011948e-26,1.0,7.669570510670745e-22
TNP_0044,Retreat,0,0.9999999998965068,3,0.8095120734108758,50,0.9999999998965068,7.599615716269417e-25,1.0349286270723467e-10
TNP_0045,Winter,2,1.0,3,0.8095120734108758,50,1.7518197794009517e-21,1.1330019133376408e-55,1.0
TNP_0045,Summer,1,1.0,3,0.8095120734108758,50,3.2762237768470343e-68,1.0,3.7172058293982e-26
TNP_0045,Monsoon,1,1.0,3,0.8095120734108758,50,8.339454555193856e-30,1.0,1.6976794170200464e-22
TNP_0045,Retreat,0,0.9999999999614699,3,0.8095120734108758,50,0.9999999999614699,3.1372388391181898e-22,3.853048521804235e-11
TNP_0046,Winter,2,0.9999954795991884,3,0.8095120734108758,50,4.520400811798861e-06,9.994866135085664e-25,0.9999954795991884
TNP_0046,Summer,1,1.0,3,0.8095120734108758,50,2.166968463845975e-73,1.0,2.516491803464752e-28
TNP_0046,Monsoon,1,1.0,3,0.8095120734108758,50,3.039166361329972e-53,1.0,2.432153423525584e-27
TNP_0046,Retreat,0,0.998476009799398,3,0.8095120734108758,50,0.998476009799398,0.0015239359973867764,5.420321575764337e-08
TNP_0047,Winter,2,0.9999999999995381,3,0.8095120734108758,50,4.601439524834806e-13,4.807647458306918e-51,0.9999999999995381
TNP_0047,Summer,1,1.0,3,0.8095120734108758,50,1.944737721941372e-51,1.0,8.43569750200972e-21
TNP_0047,Monsoon,1,1.0,3,0.8095120734108758,50,6.502990978144173e-48,1.0,8.521821729958203e-27
TNP_0047,Retreat,0,0.9999999999627551,3,0.8095120734108758,50,0.9999999999627551,7.314885633978087e-21,3.724513921985421e-11
TNP_0048,Winter,2,1.0,3,0.8095120734108758,50,1.0079484525722654e-53,1.223550167751202e-75,1.0
TNP_0048,Summer,1,1.0,3,0.8095120734108758,50,2.334474263263825e-86,1.0,1.0380674346448333e-27
TNP_0048,Monsoon,1,1.0,3,0.8095120734108758,50,2.3744604792816957e-18,1.0,2.3837195648530678e-19
TNP_0048,Retreat,0,0.9999998731984965,3,0.8095120734108758,50,0.9999998731984965,1.106798489692329e-27,1.2680150318530817e-07
TNP_0049,Winter,2,0.999999999852033,3,0.8095120734108758,50,1.4796551778469416e-10,2.5147652032143737e-25,0.999999999852033
TNP_0049,Summer,1,1.0,3,0.8095120734108758,50,5.873491340183093e-104,1.0,8.655939367093504e-33
TNP_0049,Monsoon,1,1.0,3,0.8095120734108758,50,3.120616059743436e-23,1.0,7.997804727112226e-20
TNP_0049,Retreat,0,0.9999999999097362,3,0.8095120734108758,50,0.9999999999097362,2.2045266230510136e-12,8.805920088369368e-11
TNP_0050,Winter,2,1.0,3,0.8095120734108758,50,5.664514977772631e-159,2.5028664438969213e-145,1.0
TNP_0050,Summer,2,1.0,3,0.8095120734108758,50,9.579293545278832e-50,3.6576869441669834e-20,1.0
TNP_0050,Monsoon,2,1.0,3,0.8095120734108758,50,1.6294754005726556e-51,2.8644245975978764e-85,1.0
TNP_0050,Retreat,2,1.0,3,0.8095120734108758,50,1.5323938742248376e-78,2.2640300731556573e-113,1.0
TNP_0051,Winter,2,1.0,3,0.8095120734108758,50,5.070491911794756e-130,8.176216499610841e-137,1.0
TNP_0051,Summer,2,1.0,3,0.8095120734108758,50,1.3036801995013644e-41,3.3961092189808516e-25,1.0
TNP_0051,Monsoon,2,1.0,3,0.8095120734108758,50,3.9718372787506594e-16,1.097621311749108e-49,1.0
TNP_0051,Retreat,2,1.0,3,0.8095120734108758,50,2.071553210465594e-46,2.4504801487608598e-86,1.0
TNP_0052,Winter,2,1.0,3,0.8095120734108758,50,2.796887096399865e-84,2.1580253061756464e-92,1.0
TNP_0052,Summer,1,0.9999999999999076,3,0.8095120734108758,50,3.0512443290588818e-52,0.9999999999999076,9.097777929492552e-14
