product,manufacturer,property,predicted_value,confidence,prediction_method,donor_1_actual_value,donor_1_manufacturer,donor_1_product,donor_1_weight,donor_2_actual_value,donor_2_manufacturer,donor_2_product,donor_2_weight,donor_3_actual_value,donor_3_manufacturer,donor_3_product,donor_3_weight
Paraffin/HDPE PCM6,Literature,latent_heat_freezing,201.0195,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),204.0,Pluss Advanced Technologies,savE® OM50,0.72,196.0,Pluss Advanced Technologies,savE® OM65,0.158,190.0,Pluss Advanced Technologies,savE® OM42,0.123
Paraffin/HDPE PCM2,Literature,latent_heat_freezing,200.5009,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),204.0,Pluss Advanced Technologies,savE® OM50,0.67,196.0,Pluss Advanced Technologies,savE® OM65,0.186,190.0,Pluss Advanced Technologies,savE® OM42,0.143
PlusICE A52,PCM Products Ltd.,latent_heat_freezing,222.453,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),204.0,Pluss Advanced Technologies,savE® OM50,0.539,254.9,Literature,n-Tetracosane (C24),0.26,230.0,Pluss Advanced Technologies,savE® OM49,0.202
Paraffin/Expanded graphite (92% paraffin),Literature,latent_heat_freezing,167.4285,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),172.0,Pluss Advanced Technologies,savE® OM48,0.371,175.6,Literature,Palmitic-stearic acid/Expanded graphite,0.366,149.66,Literature,Palmitic acid/Expanded graphite (80/20),0.264
Myristic acid (C14),Literature,latent_heat_freezing,202.2309,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),204.0,Pluss Advanced Technologies,savE® OM50,0.835,196.0,Pluss Advanced Technologies,savE® OM65,0.09,190.0,Pluss Advanced Technologies,savE® OM42,0.075
PureTemp 53,PureTemp,latent_heat_freezing,202.0706,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),204.0,Pluss Advanced Technologies,savE® OM50,0.82,196.0,Pluss Advanced Technologies,savE® OM65,0.098,190.0,Pluss Advanced Technologies,savE® OM42,0.082
RT54HC,Rubitherm Technologies,latent_heat_freezing,202.5896,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),204.0,Pluss Advanced Technologies,savE® OM50,0.868,196.0,Pluss Advanced Technologies,savE® OM65,0.072,190.0,Pluss Advanced Technologies,savE® OM42,0.059
RT55,Rubitherm Technologies,latent_heat_freezing,182.791,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),182.0,Pluss Advanced Technologies,savE® OM46,0.922,194.0,Pluss Advanced Technologies,savE® OM55,0.041,190.0,Pluss Advanced Technologies,savE® OM42,0.038
n-Pentacosane (C25),Literature,latent_heat_freezing,250.02,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),254.9,Literature,n-Tetracosane (C24),0.837,230.0,Pluss Advanced Technologies,savE® OM49,0.132,204.0,Pluss Advanced Technologies,savE® OM50,0.031
RT57HC,Rubitherm Technologies,latent_heat_freezing,249.6086,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),254.9,Literature,n-Tetracosane (C24),0.824,230.0,Pluss Advanced Technologies,savE® OM49,0.142,204.0,Pluss Advanced Technologies,savE® OM50,0.035
n-Hexacosane (C26),Literature,latent_heat_freezing,232.8905,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),254.9,Literature,n-Tetracosane (C24),0.421,204.0,Pluss Advanced Technologies,savE® OM50,0.292,230.0,Pluss Advanced Technologies,savE® OM49,0.286
PlusICE A58,PCM Products Ltd.,latent_heat_freezing,232.4131,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),254.9,Literature,n-Tetracosane (C24),0.413,204.0,Pluss Advanced Technologies,savE® OM50,0.303,230.0,Pluss Advanced Technologies,savE® OM49,0.284
PureTemp 58,PureTemp,latent_heat_freezing,210.2353,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),204.0,Pluss Advanced Technologies,savE® OM50,0.705,196.0,Pluss Advanced Technologies,savE® OM65,0.149,254.9,Literature,n-Tetracosane (C24),0.146
RT60,Rubitherm Technologies,latent_heat_freezing,174.6921,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),172.0,Pluss Advanced Technologies,savE® OM48,0.453,175.6,Literature,Palmitic-stearic acid/Expanded graphite,0.434,182.0,Pluss Advanced Technologies,savE® OM46,0.113
n-Heptacosane (C27),Literature,latent_heat_freezing,241.2055,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),254.9,Literature,n-Tetracosane (C24),0.586,230.0,Pluss Advanced Technologies,savE® OM49,0.284,204.0,Pluss Advanced Technologies,savE® OM50,0.13
CrodaTherm 60,CrodaTherm,latent_heat_freezing,241.9531,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),254.9,Literature,n-Tetracosane (C24),0.604,230.0,Pluss Advanced Technologies,savE® OM49,0.277,204.0,Pluss Advanced Technologies,savE® OM50,0.119
PureTemp 60,PureTemp,latent_heat_freezing,202.4071,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),204.0,Pluss Advanced Technologies,savE® OM50,0.851,196.0,Pluss Advanced Technologies,savE® OM65,0.081,190.0,Pluss Advanced Technologies,savE® OM42,0.067
RT65,Rubitherm Technologies,latent_heat_freezing,168.319,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),172.0,Pluss Advanced Technologies,savE® OM48,0.39,175.6,Literature,Palmitic-stearic acid/Expanded graphite,0.384,149.66,Literature,Palmitic acid/Expanded graphite (80/20),0.227
n-Octacosane (C28),Literature,latent_heat_freezing,244.3138,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),254.9,Literature,n-Tetracosane (C24),0.665,230.0,Pluss Advanced Technologies,savE® OM49,0.248,204.0,Pluss Advanced Technologies,savE® OM50,0.087
PlusICE A62,PCM Products Ltd.,latent_heat_freezing,224.286,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),204.0,Pluss Advanced Technologies,savE® OM50,0.494,254.9,Literature,n-Tetracosane (C24),0.287,230.0,Pluss Advanced Technologies,savE® OM49,0.219
RT62HC,Rubitherm Technologies,latent_heat_freezing,248.7229,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),254.9,Literature,n-Tetracosane (C24),0.796,230.0,Pluss Advanced Technologies,savE® OM49,0.163,204.0,Pluss Advanced Technologies,savE® OM50,0.042
Palmitic acid (C16),Literature,latent_heat_freezing,202.8311,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),204.0,Pluss Advanced Technologies,savE® OM50,0.891,196.0,Pluss Advanced Technologies,savE® OM65,0.06,190.0,Pluss Advanced Technologies,savE® OM42,0.049
PureTemp 63,PureTemp,latent_heat_freezing,202.4347,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),204.0,Pluss Advanced Technologies,savE® OM50,0.854,196.0,Pluss Advanced Technologies,savE® OM65,0.08,190.0,Pluss Advanced Technologies,savE® OM42,0.066
RT64HC,Rubitherm Technologies,latent_heat_freezing,239.109,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),254.9,Literature,n-Tetracosane (C24),0.539,230.0,Pluss Advanced Technologies,savE® OM49,0.295,204.0,Pluss Advanced Technologies,savE® OM50,0.166
n-Nonacosane (C29),Literature,latent_heat_freezing,244.3441,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),254.9,Literature,n-Tetracosane (C24),0.666,230.0,Pluss Advanced Technologies,savE® OM49,0.248,204.0,Pluss Advanced Technologies,savE® OM50,0.086
n-Triacontane (C30),Literature,latent_heat_freezing,244.3138,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),254.9,Literature,n-Tetracosane (C24),0.665,230.0,Pluss Advanced Technologies,savE® OM49,0.248,204.0,Pluss Advanced Technologies,savE® OM50,0.087
Stearic acid (C18),Literature,latent_heat_freezing,229.9387,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),254.9,Literature,n-Tetracosane (C24),0.373,204.0,Pluss Advanced Technologies,savE® OM50,0.36,230.0,Pluss Advanced Technologies,savE® OM49,0.267
PureTemp 68,PureTemp,latent_heat_freezing,244.3441,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),254.9,Literature,n-Tetracosane (C24),0.666,230.0,Pluss Advanced Technologies,savE® OM49,0.248,204.0,Pluss Advanced Technologies,savE® OM50,0.086
n-Hentriacontane (C31),Literature,latent_heat_freezing,229.9387,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),254.9,Literature,n-Tetracosane (C24),0.373,204.0,Pluss Advanced Technologies,savE® OM50,0.36,230.0,Pluss Advanced Technologies,savE® OM49,0.267
RT69HC,Rubitherm Technologies,latent_heat_freezing,246.5293,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),254.9,Literature,n-Tetracosane (C24),0.728,230.0,Pluss Advanced Technologies,savE® OM49,0.21,204.0,Pluss Advanced Technologies,savE® OM50,0.062
n-Dotriacontane (C32),Literature,latent_heat_freezing,164.5108,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),149.66,Literature,Palmitic acid/Expanded graphite (80/20),0.385,172.0,Pluss Advanced Technologies,savE® OM48,0.309,175.6,Literature,Palmitic-stearic acid/Expanded graphite,0.306
RT70HC,Rubitherm Technologies,latent_heat_freezing,238.8173,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),254.9,Literature,n-Tetracosane (C24),0.533,230.0,Pluss Advanced Technologies,savE® OM49,0.296,204.0,Pluss Advanced Technologies,savE® OM50,0.171
savE® OM42,Pluss Advanced Technologies,heat_storage_Wh_kg,47.7645,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),48.0,Rubitherm Technologies,RT42,0.569,48.0,Rubitherm Technologies,RT55,0.313,46.0,Rubitherm Technologies,RT50,0.118
n-Docosane (C22),Literature,heat_storage_Wh_kg,67.1083,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),67.0,Rubitherm Technologies,RT57HC,0.351,70.0,Rubitherm Technologies,RT44HC,0.343,64.0,Rubitherm Technologies,RT45HC,0.306
Lauric acid (C12),Literature,heat_storage_Wh_kg,47.9153,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),48.0,Rubitherm Technologies,RT42,0.701,48.0,Rubitherm Technologies,RT55,0.256,46.0,Rubitherm Technologies,RT50,0.042
savE® OM46,Pluss Advanced Technologies,heat_storage_Wh_kg,47.9172,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),48.0,Rubitherm Technologies,RT55,0.752,48.0,Rubitherm Technologies,RT42,0.207,46.0,Rubitherm Technologies,RT50,0.041
n-Tricosane (C23),Literature,heat_storage_Wh_kg,64.0,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),64.0,Rubitherm Technologies,RT62HC,0.406,64.0,Rubitherm Technologies,RT69HC,0.299,64.0,Rubitherm Technologies,RT45HC,0.295
Paraffin/Expanded graphite (85.56% paraffin),Literature,heat_storage_Wh_kg,46.0,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),46.0,Rubitherm Technologies,RT50,0.385,46.0,Rubitherm Technologies,RT47,0.326,46.0,Rubitherm Technologies,RT60,0.289
savE® OM49,Pluss Advanced Technologies,heat_storage_Wh_kg,64.0,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),64.0,Rubitherm Technologies,RT69HC,0.409,64.0,Rubitherm Technologies,RT45HC,0.356,64.0,Rubitherm Technologies,RT62HC,0.235
Paraffin/HDPE PCM3,Literature,heat_storage_Wh_kg,47.8303,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),48.0,Rubitherm Technologies,RT42,0.647,48.0,Rubitherm Technologies,RT55,0.269,46.0,Rubitherm Technologies,RT50,0.085
PlusICE A50,PCM Products Ltd.,heat_storage_Wh_kg,55.9615,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),56.0,Rubitherm Technologies,RT54HC,0.995,48.0,Rubitherm Technologies,RT42,0.003,48.0,Rubitherm Technologies,RT55,0.002
savE® OM50,Pluss Advanced Technologies,heat_storage_Wh_kg,47.7443,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),48.0,Rubitherm Technologies,RT42,0.549,48.0,Rubitherm Technologies,RT55,0.323,46.0,Rubitherm Technologies,RT50,0.128
Paraffin/HDPE PCM6,Literature,heat_storage_Wh_kg,47.8303,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),48.0,Rubitherm Technologies,RT42,0.647,48.0,Rubitherm Technologies,RT55,0.269,46.0,Rubitherm Technologies,RT50,0.085
Paraffin/HDPE PCM2,Literature,heat_storage_Wh_kg,47.8303,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),48.0,Rubitherm Technologies,RT42,0.647,48.0,Rubitherm Technologies,RT55,0.269,46.0,Rubitherm Technologies,RT50,0.085
savE® OM48,Pluss Advanced Technologies,heat_storage_Wh_kg,46.0,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),46.0,Rubitherm Technologies,RT50,0.356,46.0,Rubitherm Technologies,RT47,0.331,46.0,Rubitherm Technologies,RT60,0.313
PlusICE A52,PCM Products Ltd.,heat_storage_Wh_kg,64.0,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),64.0,Rubitherm Technologies,RT62HC,0.365,64.0,Rubitherm Technologies,RT69HC,0.318,64.0,Rubitherm Technologies,RT45HC,0.316
n-Tetracosane (C24),Literature,heat_storage_Wh_kg,67.053,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),67.0,Rubitherm Technologies,RT57HC,0.359,70.0,Rubitherm Technologies,RT44HC,0.33,64.0,Rubitherm Technologies,RT45HC,0.312
Paraffin/Expanded graphite (92% paraffin),Literature,heat_storage_Wh_kg,47.5642,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),48.0,Rubitherm Technologies,RT55,0.513,48.0,Rubitherm Technologies,RT42,0.269,46.0,Rubitherm Technologies,RT50,0.218
Myristic acid (C14),Literature,heat_storage_Wh_kg,54.7023,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),56.0,Rubitherm Technologies,RT54HC,0.838,48.0,Rubitherm Technologies,RT42,0.085,48.0,Rubitherm Technologies,RT55,0.078
PureTemp 53,PureTemp,heat_storage_Wh_kg,52.2698,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),56.0,Rubitherm Technologies,RT54HC,0.534,48.0,Rubitherm Technologies,RT42,0.246,48.0,Rubitherm Technologies,RT55,0.22
n-Pentacosane (C25),Literature,heat_storage_Wh_kg,64.0,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),64.0,Rubitherm Technologies,RT62HC,0.412,64.0,Rubitherm Technologies,RT69HC,0.296,64.0,Rubitherm Technologies,RT45HC,0.292
Myristic acid/NBR-1.0,Literature,heat_storage_Wh_kg,46.0,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),46.0,Rubitherm Technologies,RT47,0.588,46.0,Rubitherm Technologies,RT50,0.255,46.0,Rubitherm Technologies,RT60,0.157
Myristic acid/NBR-0.5,Literature,heat_storage_Wh_kg,46.0,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),46.0,Rubitherm Technologies,RT47,0.588,46.0,Rubitherm Technologies,RT50,0.255,46.0,Rubitherm Technologies,RT60,0.157
savE® OM55,Pluss Advanced Technologies,heat_storage_Wh_kg,47.8574,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),48.0,Rubitherm Technologies,RT42,0.687,48.0,Rubitherm Technologies,RT55,0.242,46.0,Rubitherm Technologies,RT50,0.071
Palmitic-stearic acid/Expanded graphite,Literature,heat_storage_Wh_kg,47.5012,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),48.0,Rubitherm Technologies,RT55,0.482,48.0,Rubitherm Technologies,RT42,0.269,46.0,Rubitherm Technologies,RT50,0.249
n-Hexacosane (C26),Literature,heat_storage_Wh_kg,70.6497,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),70.0,Rubitherm Technologies,RT64HC,0.45,72.0,Rubitherm Technologies,RT70HC,0.325,70.0,Rubitherm Technologies,RT44HC,0.225
PlusICE A58,PCM Products Ltd.,heat_storage_Wh_kg,64.0,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),64.0,Rubitherm Technologies,RT62HC,0.366,64.0,Rubitherm Technologies,RT69HC,0.318,64.0,Rubitherm Technologies,RT45HC,0.316
PureTemp 58,PureTemp,heat_storage_Wh_kg,54.096,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),56.0,Rubitherm Technologies,RT54HC,0.762,48.0,Rubitherm Technologies,RT42,0.124,48.0,Rubitherm Technologies,RT55,0.114
n-Heptacosane (C27),Literature,heat_storage_Wh_kg,67.1109,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),67.0,Rubitherm Technologies,RT57HC,0.351,70.0,Rubitherm Technologies,RT44HC,0.343,64.0,Rubitherm Technologies,RT45HC,0.306
CrodaTherm 60,CrodaTherm,heat_storage_Wh_kg,64.0,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),64.0,Rubitherm Technologies,RT62HC,0.42,64.0,Rubitherm Technologies,RT69HC,0.292,64.0,Rubitherm Technologies,RT45HC,0.288
Palmitic acid/Expanded graphite (80/20),Literature,heat_storage_Wh_kg,46.0,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),46.0,Rubitherm Technologies,RT60,0.965,46.0,Rubitherm Technologies,RT47,0.024,46.0,Rubitherm Technologies,RT50,0.011
PureTemp 60,PureTemp,heat_storage_Wh_kg,52.2878,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),56.0,Rubitherm Technologies,RT54HC,0.536,48.0,Rubitherm Technologies,RT42,0.245,48.0,Rubitherm Technologies,RT55,0.219
n-Octacosane (C28),Literature,heat_storage_Wh_kg,67.6472,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),70.0,Rubitherm Technologies,RT44HC,0.468,67.0,Rubitherm Technologies,RT57HC,0.281,64.0,Rubitherm Technologies,RT45HC,0.252
PlusICE A62,PCM Products Ltd.,heat_storage_Wh_kg,59.9026,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),56.0,Rubitherm Technologies,RT54HC,0.512,64.0,Rubitherm Technologies,RT62HC,0.255,64.0,Rubitherm Technologies,RT69HC,0.233
Palmitic acid (C16),Literature,heat_storage_Wh_kg,50.7027,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),48.0,Rubitherm Technologies,RT42,0.357,56.0,Rubitherm Technologies,RT54HC,0.338,48.0,Rubitherm Technologies,RT55,0.305
PureTemp 63,PureTemp,heat_storage_Wh_kg,51.741,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),56.0,Rubitherm Technologies,RT54HC,0.468,48.0,Rubitherm Technologies,RT42,0.283,48.0,Rubitherm Technologies,RT55,0.25
n-Nonacosane (C29),Literature,heat_storage_Wh_kg,67.8138,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),70.0,Rubitherm Technologies,RT44HC,0.506,67.0,Rubitherm Technologies,RT57HC,0.26,64.0,Rubitherm Technologies,RT45HC,0.234
n-Triacontane (C30),Literature,heat_storage_Wh_kg,67.8507,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),70.0,Rubitherm Technologies,RT44HC,0.514,67.0,Rubitherm Technologies,RT57HC,0.255,64.0,Rubitherm Technologies,RT45HC,0.231
savE® OM65,Pluss Advanced Technologies,heat_storage_Wh_kg,47.8304,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),48.0,Rubitherm Technologies,RT42,0.647,48.0,Rubitherm Technologies,RT55,0.268,46.0,Rubitherm Technologies,RT50,0.085
Stearic acid (C18),Literature,heat_storage_Wh_kg,64.0,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),64.0,Rubitherm Technologies,RT62HC,0.365,64.0,Rubitherm Technologies,RT69HC,0.319,64.0,Rubitherm Technologies,RT45HC,0.317
PureTemp 68,PureTemp,heat_storage_Wh_kg,64.0,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),64.0,Rubitherm Technologies,RT62HC,0.576,64.0,Rubitherm Technologies,RT69HC,0.216,64.0,Rubitherm Technologies,RT45HC,0.209
n-Hentriacontane (C31),Literature,heat_storage_Wh_kg,64.0,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),64.0,Rubitherm Technologies,RT62HC,0.379,64.0,Rubitherm Technologies,RT69HC,0.312,64.0,Rubitherm Technologies,RT45HC,0.309
n-Dotriacontane (C32),Literature,heat_storage_Wh_kg,46.6877,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),48.0,Rubitherm Technologies,RT55,0.344,46.0,Rubitherm Technologies,RT50,0.335,46.0,Rubitherm Technologies,RT47,0.321
n-Tricosane (C23),Literature,density_liquid,780.4316,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),780.0,Pluss Advanced Technologies,savE® OM49,0.907,780.0,Rubitherm Technologies,RT64HC,0.071,800.0,Rubitherm Technologies,RT54HC,0.022
Paraffin/Expanded graphite (85.56% paraffin),Literature,density_liquid,869.0601,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),875.0,Pluss Advanced Technologies,savE® OM48,0.516,861.0,Literature,Myristic acid (C14),0.44,880.0,Pluss Advanced Technologies,savE® OM46,0.044
Paraffin/HDPE PCM3,Literature,density_liquid,850.9844,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),840.0,Rubitherm Technologies,RT69HC,0.509,859.0,Pluss Advanced Technologies,savE® OM50,0.341,870.0,PureTemp,PureTemp 60,0.15
Paraffin/HDPE PCM6,Literature,density_liquid,851.356,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),840.0,Rubitherm Technologies,RT69HC,0.491,859.0,Pluss Advanced Technologies,savE® OM50,0.355,870.0,PureTemp,PureTemp 60,0.154
Paraffin/HDPE PCM2,Literature,density_liquid,846.2931,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),840.0,Rubitherm Technologies,RT69HC,0.754,859.0,Pluss Advanced Technologies,savE® OM50,0.145,875.0,Pluss Advanced Technologies,savE® OM48,0.101
Paraffin/Expanded graphite (92% paraffin),Literature,density_liquid,790.7857,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),800.0,Rubitherm Technologies,RT54HC,0.376,790.0,Literature,n-Nonacosane (C29),0.326,780.0,Rubitherm Technologies,RT64HC,0.298
Myristic acid/NBR-1.0,Literature,density_liquid,778.1836,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),780.0,Pluss Advanced Technologies,savE® OM49,0.504,780.0,Rubitherm Technologies,RT64HC,0.314,770.0,Rubitherm Technologies,RT70HC,0.182
Myristic acid/NBR-0.5,Literature,density_liquid,778.3975,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),780.0,Pluss Advanced Technologies,savE® OM49,0.527,780.0,Rubitherm Technologies,RT64HC,0.313,770.0,Rubitherm Technologies,RT70HC,0.16
Palmitic-stearic acid/Expanded graphite,Literature,density_liquid,777.4758,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),780.0,Pluss Advanced Technologies,savE® OM49,0.441,780.0,Rubitherm Technologies,RT64HC,0.307,770.0,Rubitherm Technologies,RT70HC,0.252
Palmitic acid/Expanded graphite (80/20),Literature,density_liquid,777.5088,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),780.0,Pluss Advanced Technologies,savE® OM49,0.444,780.0,Rubitherm Technologies,RT64HC,0.307,770.0,Rubitherm Technologies,RT70HC,0.249
Palmitic acid (C16),Literature,density_liquid,859.6701,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),875.0,Pluss Advanced Technologies,savE® OM48,0.353,861.0,Literature,Myristic acid (C14),0.349,840.0,Rubitherm Technologies,RT69HC,0.298
n-Triacontane (C30),Literature,density_liquid,939.6657,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),941.0,Literature,Stearic acid (C18),0.938,910.0,Literature,n-Octacosane (C28),0.033,930.0,Literature,n-Hentriacontane (C31),0.03
PureTemp 68,PureTemp,density_liquid,796.8087,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),790.0,Literature,n-Nonacosane (C29),0.479,800.0,Rubitherm Technologies,RT54HC,0.361,810.0,PureTemp,PureTemp 58,0.16
n-Dotriacontane (C32),Literature,density_liquid,776.8103,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),780.0,Pluss Advanced Technologies,savE® OM49,0.392,770.0,Rubitherm Technologies,RT70HC,0.319,780.0,Rubitherm Technologies,RT64HC,0.289
Lauric acid (C12),Literature,density_solid,960.2834,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),960.0,PureTemp,PureTemp 60,0.525,961.0,Pluss Advanced Technologies,savE® OM50,0.283,960.0,Pluss Advanced Technologies,savE® OM48,0.191
n-Tricosane (C23),Literature,density_solid,796.7969,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),799.0,Literature,n-Tetracosane (C24),0.662,801.0,Literature,n-Pentacosane (C25),0.245,770.0,Literature,n-Hexacosane (C26),0.093
Paraffin/Expanded graphite (85.56% paraffin),Literature,density_solid,936.927,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),930.0,Literature,n-Hentriacontane (C31),0.471,960.0,Pluss Advanced Technologies,savE® OM48,0.281,924.0,Pluss Advanced Technologies,savE® OM65,0.248
Paraffin/HDPE PCM3,Literature,density_solid,952.4866,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),960.0,Pluss Advanced Technologies,savE® OM48,0.492,960.0,PureTemp,PureTemp 60,0.257,930.0,Literature,n-Hentriacontane (C31),0.25
Paraffin/HDPE PCM6,Literature,density_solid,952.5179,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),960.0,Pluss Advanced Technologies,savE® OM48,0.473,960.0,PureTemp,PureTemp 60,0.278,930.0,Literature,n-Hentriacontane (C31),0.249
Paraffin/HDPE PCM2,Literature,density_solid,954.4207,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),960.0,PureTemp,PureTemp 60,0.534,960.0,Pluss Advanced Technologies,savE® OM48,0.28,930.0,Literature,n-Hentriacontane (C31),0.186
Paraffin/Expanded graphite (92% paraffin),Literature,density_solid,870.5582,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),880.0,Rubitherm Technologies,RT45HC,0.647,850.0,Rubitherm Technologies,RT54HC,0.315,880.0,Rubitherm Technologies,RT70HC,0.039
Myristic acid/NBR-1.0,Literature,density_solid,860.4974,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),850.0,Rubitherm Technologies,RT54HC,0.65,880.0,Rubitherm Technologies,RT45HC,0.279,880.0,Rubitherm Technologies,RT70HC,0.071
Myristic acid/NBR-0.5,Literature,density_solid,865.0673,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),850.0,Rubitherm Technologies,RT54HC,0.498,880.0,Rubitherm Technologies,RT45HC,0.357,880.0,Rubitherm Technologies,RT70HC,0.145
Palmitic-stearic acid/Expanded graphite,Literature,density_solid,855.9658,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),850.0,Rubitherm Technologies,RT54HC,0.801,880.0,Rubitherm Technologies,RT45HC,0.166,880.0,Rubitherm Technologies,RT70HC,0.033
Palmitic acid/Expanded graphite (80/20),Literature,density_solid,859.8333,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),850.0,Rubitherm Technologies,RT54HC,0.672,880.0,Rubitherm Technologies,RT45HC,0.264,880.0,Rubitherm Technologies,RT70HC,0.064
n-Triacontane (C30),Literature,density_solid,910.0,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),910.0,PCM Products Ltd.,PlusICE A58,0.614,910.0,PCM Products Ltd.,PlusICE A62,0.2,910.0,Literature,n-Octacosane (C28),0.186
PureTemp 68,PureTemp,density_solid,811.0244,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),816.0,Pluss Advanced Technologies,savE® OM49,0.55,810.0,PCM Products Ltd.,PlusICE A52,0.337,790.0,Literature,n-Nonacosane (C29),0.114
